DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-Nov-2025,EQ,"1,520.00","1,530.00","1,488.80","1,541.80","1,505.80","1,502.80","1,502.86","2,006.45","1,307.00",9739549,"14,63,71,69,031.70",236102
13-Nov-2025,EQ,"1,557.10","1,557.50","1,530.30","1,551.70","1,542.00","1,541.80","1,546.18","2,006.45","1,307.00",19655689,"30,39,11,36,875.00",384451
12-Nov-2025,EQ,"1,540.00","1,559.20","1,538.10","1,530.30","1,550.60","1,551.70","1,551.22","2,006.45","1,307.00",14635417,"22,70,27,69,740.90",394127
11-Nov-2025,EQ,"1,525.00","1,533.40","1,511.10","1,513.50","1,531.10","1,530.30","1,523.87","2,006.45","1,307.00",13692989,"20,86,62,99,929.10",255611
10-Nov-2025,EQ,"1,490.10","1,520.00","1,490.00","1,476.80","1,515.00","1,513.50","1,510.83","2,006.45","1,307.00",9787975,"14,78,79,62,928.50",223666
07-Nov-2025,EQ,"1,470.00","1,480.90","1,449.10","1,466.70","1,478.00","1,476.80","1,466.50","2,006.45","1,307.00",8765759,"12,85,50,16,020.60",254091
06-Nov-2025,EQ,"1,478.60","1,483.00","1,461.90","1,467.90","1,466.50","1,466.70","1,471.99","2,006.45","1,307.00",7944752,"11,69,46,18,273.50",288667
04-Nov-2025,EQ,"1,479.70","1,481.90","1,462.90","1,485.50","1,468.00","1,467.90","1,470.61","2,006.45","1,307.00",8691330,"12,78,15,68,402.80",250131
03-Nov-2025,EQ,"1,482.30","1,491.40","1,474.20","1,482.30","1,486.00","1,485.50","1,482.11","2,006.45","1,307.00",5470600,"8,10,80,37,412.10",166500
31-Oct-2025,EQ,"1,490.00","1,497.10","1,480.70","1,493.80","1,481.90","1,482.30","1,485.71","2,006.45","1,307.00",4819814,"7,16,08,28,351.20",185234
30-Oct-2025,EQ,"1,507.00","1,508.20","1,489.10","1,510.40","1,495.00","1,493.80","1,494.92","2,006.45","1,307.00",5608867,"8,38,48,10,481.60",158047
29-Oct-2025,EQ,"1,500.20","1,520.20","1,496.90","1,500.20","1,511.50","1,510.40","1,510.57","2,006.45","1,307.00",4884976,"7,37,91,12,106.40",177757
28-Oct-2025,EQ,"1,499.70","1,506.50","1,490.50","1,504.50","1,502.20","1,500.20","1,497.66","2,006.45","1,307.00",8211019,"12,29,73,45,650.30",185479
27-Oct-2025,EQ,"1,510.00","1,515.30","1,498.10","1,525.40","1,504.90","1,504.50","1,506.50","2,006.45","1,307.00",7273211,"10,95,71,13,552.60",131339
24-Oct-2025,EQ,"1,539.50","1,543.00","1,518.00","1,528.50","1,523.90","1,525.40","1,525.75","2,006.45","1,307.00",8652257,"13,20,11,69,899.70",217512
23-Oct-2025,EQ,"1,510.00","1,546.00","1,506.00","1,472.40","1,525.00","1,528.50","1,530.64","2,006.45","1,307.00",20358624,"31,16,16,87,039.20",458468
21-Oct-2025,EQ,"1,478.00","1,486.00","1,470.00","1,460.90","1,471.00","1,472.40","1,476.04","2,006.45","1,307.00",1698704,"2,50,73,52,685.60",42723
20-Oct-2025,EQ,"1,453.70","1,467.00","1,450.00","1,441.10","1,462.70","1,460.90","1,460.15","2,006.45","1,307.00",6994246,"10,21,26,38,243.40",218283
17-Oct-2025,EQ,"1,454.90","1,458.40","1,434.00","1,471.50","1,440.90","1,441.10","1,444.15","2,006.45","1,307.00",16959378,"24,49,18,95,479.50",408253
16-Oct-2025,EQ,"1,473.90","1,474.50","1,460.50","1,474.40","1,470.90","1,471.50","1,468.35","2,006.45","1,307.00",8005748,"11,75,52,32,719.60",178279
15-Oct-2025,EQ,"1,483.90","1,488.60","1,467.50","1,489.90","1,474.40","1,474.40","1,475.22","2,006.45","1,307.00",6986098,"10,30,60,28,748.90",164747
14-Oct-2025,EQ,"1,499.00","1,514.40","1,486.50","1,493.20","1,488.00","1,489.90","1,494.67","2,006.45","1,307.00",5600789,"8,37,13,48,792.60",136364
13-Oct-2025,EQ,"1,497.00","1,504.70","1,483.40","1,514.90","1,492.40","1,493.20","1,492.35","2,006.45","1,307.00",5859355,"8,74,42,11,054.50",144645
10-Oct-2025,EQ,"1,510.00","1,521.70","1,498.80","1,509.30","1,511.90","1,514.90","1,513.91","2,006.45","1,307.00",3738353,"5,65,95,44,676.20",112569
09-Oct-2025,EQ,"1,502.00","1,514.00","1,487.00","1,495.00","1,509.70","1,509.30","1,504.17","2,006.45","1,307.00",7028753,"10,57,24,16,602.70",177885
08-Oct-2025,EQ,"1,457.00","1,498.00","1,455.00","1,458.50","1,492.00","1,495.00","1,489.22","2,006.45","1,307.00",4657192,"6,93,56,05,075.60",125936
07-Oct-2025,EQ,"1,477.70","1,482.90","1,454.00","1,476.00","1,458.10","1,458.50","1,463.53","2,006.45","1,307.00",5570320,"8,15,23,22,227.90",171449
06-Oct-2025,EQ,"1,446.60","1,478.80","1,442.30","1,446.60","1,474.90","1,476.00","1,465.66","2,006.45","1,307.00",4630590,"6,78,68,47,790.90",105537
