DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-2026,EQ,"868.05","871.70","855.10","877.75","857.20","857.05","862.50","2,037.70","848.00",34439647,"29,70,42,05,809.35",706964
05-Mar-2026,EQ,"873.85","881.40","863.50","868.65","875.10","877.75","873.44","2,037.70","848.00",31324582,"27,36,00,19,475.00",281674
04-Mar-2026,EQ,"848.00","879.30","848.00","879.40","869.00","868.65","866.00","2,037.70","848.00",39862322,"34,52,08,91,227.90",456224
02-Mar-2026,EQ,"876.20","887.75","871.55","887.75","882.10","879.40","879.38","2,037.70","871.55",38378924,"33,74,97,54,117.70",401981
27-Feb-2026,EQ,"898.60","898.95","885.00","898.60","887.45","887.75","889.69","2,037.70","885.00",34620755,"30,80,16,52,275.45",411801
26-Feb-2026,EQ,"912.00","912.00","895.00","907.60","896.00","898.60","901.32","2,037.70","895.00",41165937,"37,10,36,36,109.45",502649
25-Feb-2026,EQ,"910.55","916.00","903.10","910.50","907.40","907.60","909.00","2,037.70","901.00",27884303,"25,34,69,43,106.45",323744
24-Feb-2026,EQ,"927.95","927.95","909.15","923.60","911.50","910.50","915.33","2,037.70","901.00",31313985,"28,66,25,10,212.40",298283
23-Feb-2026,EQ,"916.50","925.65","915.25","911.85","924.10","923.60","921.17","2,037.70","901.00",23270122,"21,43,56,60,334.00",228672
20-Feb-2026,EQ,"911.00","917.85","908.40","915.60","913.15","911.85","913.52","2,037.70","901.00",22654907,"20,69,58,10,498.85",295931
19-Feb-2026,EQ,"929.00","929.20","912.45","924.70","914.30","915.60","918.86","2,037.70","901.00",21209234,"19,48,82,60,011.45",297364
18-Feb-2026,EQ,"923.20","925.50","919.55","925.70","923.70","924.70","922.79","2,037.70","901.00",12738702,"11,75,51,17,113.45",217327
17-Feb-2026,EQ,"923.00","928.10","918.60","925.80","926.45","925.70","925.32","2,037.70","901.00",22599629,"20,91,18,78,079.60",337196
16-Feb-2026,EQ,"903.90","929.50","902.10","903.90","925.50","925.80","922.18","2,037.70","901.00",18806989,"17,34,35,14,574.60",309517
